X	Y	RouteID	ARM	Direction_	Location	Year_2012	Year_2013	Year_2014	Year_2015	Year_2015_	GlobalID	LastUpdate
-118.409902321976489	47.073926010262362	395	99.569999999999993	Bothways	At Milepost 93.01 A:PTR LOCATION P7C	7200*	7400*	7800*	8100*	8100	{FF817AAD-51DB-43EC-9B95-78125F536187}	2015/12/31
-122.128466615177317	48.188421420203603	009	28.750000000000000	Bothways	At Milepost 28.75 A:PTR LOCATION P21	11000*	12000*	12000*	12000*	12000	{6B91EFE6-2080-40CF-98FB-2B2E2614125D}	2015/12/31
-122.563332371717948	45.642715327285813	205	3.260000000000000	Bothways	At Milepost 29.85 A:PTR LOCATION R051	111000*	113000*	114000*	118000*	118000	{5BAB43EC-DC27-4ACB-B805-FE135737B193}	2015/12/31
-122.734809846681244	45.892994043320073	005	20.140000000000001	Bothways	At Milepost 20.14 A:PTR LOCATION R045	65000	68000*	69000	74000*	74000	{39B6F456-906C-4AF8-A4D0-23A45BE06FBC}	2015/12/31
-122.953507691035057	46.113759441412007	433	0.700000000000000	Bothways	At Milepost 0.70 A:PTR LOCATION S503	21000*	21000*	22000*	22000*	22000	{96962DAF-7719-4DE3-8AC0-DEA461A004F5}	2015/12/31
-120.477924414316988	46.595360020176535	082	33.990000000000002	Bothways	At Milepost 34.02 A:PTR LOCATION P29	45000*	46000	48000*	50000*	50000	{A9CA76BA-175A-4C20-96AB-1BD0F8E1E8C7}	2015/12/31
-122.321236079071369	47.562866331539851	005	162.409999999999997	Bothways	At Milepost 162.35 A:PTR LOCATION S202	224000*	226000*	226000*	236000	236000	{25CE6C39-1DD3-4535-89A9-6FADF854908F}	2015/12/31
-124.277913631022713	48.070172659716746	101	203.419999999999987	Bothways	At Milepost 204.00 A:PTR LOCATION R073	2400*	2500*	2600*	2700*	2700	{515CBBED-72ED-4A53-9BB1-EB624E4CD7E8}	2015/12/31
-120.6025187423988	47.564469242005046	002	103.980000000000004	Bothways	At Milepost 103.92 A:PTR LOCATION R047 WEST	12000*	12000*	13000*	13000*	13000	{37DF11FA-59A0-46BA-AE87-C243825F1D21}	2015/12/31
-117.951678502544851	46.438975219072617	012	373.750000000000000	Bothways	At Milepost 376.98 A:PTR LOCATION P05	1900*	1900*	2000*	2000*	2000	{D2724F08-5B39-4C26-9837-F6F299787CF3}	2015/12/31
