SiteId,SiteLocation,Date,DayOfWeek,TravelDirection,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23,Hour24
S202,On SR 005 at milepost 162.35 A: N/O CORSON AVENUE I/C - SEATTLE                             ,2015-06-28 00:00:00,Sunday,Northbound,2192,1292,927,710,849,1773,2380,2887,3946,5611,5754,5773,5513,5618,5830,6288,6358,6177,6194,5778,5491,5328,4030,2679
S202,On SR 005 at milepost 162.35 A: N/O CORSON AVENUE I/C - SEATTLE                             ,2015-07-05 00:00:00,Sunday,Northbound,2996,1550,901,691,775,1532,2034,2368,3067,4340,5466,5861,5821,6038,6476,6589,5860,6066,6188,5660,5510,5035,4841,3458
S202,On SR 005 at milepost 162.35 A: N/O CORSON AVENUE I/C - SEATTLE                             ,2015-07-12 00:00:00,Sunday,Northbound,2044,1239,860,614,823,1744,2430,2588,3719,5212,6487,7049,6848,6225,6676,6847,6671,6387,6452,6106,5735,5429,4510,2678
S202,On SR 005 at milepost 162.35 A: N/O CORSON AVENUE I/C - SEATTLE                             ,2015-07-19 00:00:00,Sunday,Northbound,2133,1310,1035,735,917,1677,2461,2895,3596,5215,6530,6662,6479,5607,6658,6920,6867,6537,6719,6186,5799,5643,4872,3093
S202,On SR 005 at milepost 162.35 A: N/O CORSON AVENUE I/C - SEATTLE                             ,2015-07-26 00:00:00,Sunday,Northbound,2069,1294,967,710,885,1581,2286,2510,3678,5157,6484,6992,6676,6393,6578,6844,6330,5467,6255,5881,5431,5276,4139,2968
S202,On SR 005 at milepost 162.35 A: N/O CORSON AVENUE I/C - SEATTLE                             ,2007-05-07 00:00:00,Monday,Southbound,1402,861,821,685,1625,4384,7333,8349,7475,6384,6594,7068,7309,7757,8666,9549,9428,8687,7395,5518,4915,4591,3470,2532
S202,On SR 005 at milepost 162.35 A: N/O CORSON AVENUE I/C - SEATTLE                             ,2007-05-14 00:00:00,Monday,Southbound,1338,917,782,694,1597,4494,7269,8036,7335,6773,6639,6666,7260,7629,8600,9414,9547,8811,7267,5655,4841,4407,3383,2407
S202,On SR 005 at milepost 162.35 A: N/O CORSON AVENUE I/C - SEATTLE                             ,2007-05-21 00:00:00,Monday,Southbound,1319,931,803,759,1619,4466,7008,7547,6874,6637,5276,5909,7044,7578,8963,9969,9940,8915,7163,4572,4255,3915,3782,2540
S202,On SR 005 at milepost 162.35 A: N/O CORSON AVENUE I/C - SEATTLE                             ,2007-05-28 00:00:00,Monday,Southbound,2005,1539,1669,863,938,1331,1788,2185,2528,3783,4859,5836,6147,6426,6537,6776,6373,6143,5809,5403,5047,4623,3804,2427
S202,On SR 005 at milepost 162.35 A: N/O CORSON AVENUE I/C - SEATTLE                             ,2009-06-01 00:00:00,Monday,Southbound,1333,901,692,713,1585,4119,6646,7585,6859,6440,6769,6742,6891,7264,8766,9313,9379,8292,6700,5029,4731,5152,3735,2424
