Shape,DOWNTOWN,STNAME,NAME,YEAR_,AAWDT,HPMS,FLOW_COUNT,OBJECTID,GEOBASID,COMPKEY,SEGKEY,INPUT_STUDY_ID,Shape_Length
"(47.65173327200006, -122.32115167299997)",N,UNIVERSITY BR,"UNIVERSITY BR, SW/O POINT A",2011,32300,Y,Y,206,101100010,13189,13189,307405,1762.966983010850299
"(47.53369186200007, -122.36042453999994)",N,,"SW HOLDEN ST, W/O DELRIDGE WAY SW",2011,6100, ,Y,207,178150150,22372,22372,304567,4000.472359626736761
"(47.601695164000034, -122.31782315499999)",N,BOREN AVE,"BOREN AVE, NW/O E YESLER WAY",2011,18100,Y,Y,208,55650010,9303,9303,304519,1305.252495267407312
"(47.59928129200006, -122.30223345099995)",N,23RD AVE S,"23RD AVE S, S/O S JACKSON ST",2011,18700,Y, ,209,13750030,3444,3444,304656,5429.157536673201321
"(47.601842788000056, -122.33759941899996)",N,,"COLMAN DOCK , W/O ALASKAN WAY",2011,18000, ,Y,210,59920010,534681,534681,304620,260.427125737149822
"(47.60171754600003, -122.33658213799998)",Y,ALASKAN WAY S,"ALASKAN WAY S, N/O S KING ST",2011,10000, ,Y,211,50500050,8738,8738,308028,5022.389638320329141
"(47.57148070400007, -122.36349875399998)",N,WEST SEATTLE BR EB & WB,"WEST SEATTLE BR EB & WB, NE/O FAUNTLEROY WAY SW",2011,39900,Y,Y,212,102580290,13333,13333,307594,6579.561475120916839
"(47.571207618000074, -122.35847912499997)",N,WEST SEATTLE BR EB & WB,"WEST SEATTLE BR (EB&WB) , E/O DELRIDGE-W SEATTLE BR EB ON RP",2011,83300, ,Y,213,102580130,13330,13330,308155,1248.611545500383727
"(47.58831040300004, -122.33844063699996)",N,ALASKAN WAY S,"ALASKAN WAY S, N/O S MASSACHUSETTS ST",2011,6700, ,Y,214,50500170,8742,8742,308030,6192.190130534123455
"(47.68311118200006, -122.31748950699995)",N,ROOSEVELT WAY NE ,"ROOSEVELT WAY NE, S/O NE NORTHGATE WAY",2011,7800,Y,Y,215,94850600,12652,12652,304553,9284.036926364538886
"(47.64614702700004, -122.34974100999995)",N,FREMONT BR,"FREMONT BR, N/O POINT A",2011,31000,Y,Y,216,68750010,10563,10563,307273,1563.798177409407117
"(47.61402707700006, -122.34775449899996)",N,BATTERY ST TUNNEL NB & SB,"BATTERY ST TUNNEL (NB & SB), NE/O ALASKAN WY VI NB",2011,53000, ,Y,217,53650010,9080,9080,308605,2041.571170687017911
"(47.59920694700003, -122.33543958699994)",N,S JACKSON ST,"S JACKSON ST, E/O 5TH AVE S",2011,12800,Y,Y,218,162850080,20488,20488,303724,5255.751442200364181
"(47.51401604400007, -122.32819219199996)",N,SR509 NB,"SR509 NB & SB , S/O CLOVERDALE ST ON & OFF RP",2011,64700, ,Y,219,97450080,12881,12881,304618,5993.16504134895149
"(47.52330726800005, -122.26998603899995)",N,S HENDERSON ST,"S HENDERSON ST, E/O RENTON AVE S",2011,12000,Y,Y,220,161550180,20241,20241,303726,2223.58999870900152
"(47.54389035400004, -122.32962073799996)",N,EAST MARGINAL WAY S,"EAST MARGINAL WAY S, SE/O 4TH AVE S",2011,17800,Y,Y,221,113000310,14409,14409,304800,5366.358366259592913
"(47.54245258000003, -122.28370215499996)",N,M L KING JR WAY S NB & SB,"M L KING JR ER & WR WAY S, SE/O S HOLLY ST",2011,25100, ,Y,222,83030670,486569,486569,304788,7186.479745323815223
