Shape,DOWNTOWN,STNAME,NAME,YEAR_,AAWDT,HPMS,FLOW_COUNT,OBJECTID,GEOBASID,COMPKEY,SEGKEY,INPUT_STUDY_ID,Shape_Length
"(47.653996696000036, -122.38060539099996)",N,W EMERSON PL,"W EMERSON PL, SE/O 21ST AVE W",2011,20100, ,Y,30,185650015,23271,23271,308095,917.627234475308683
"(47.60169336800004, -122.31678189399997)",N,12TH AVE,"12TH AVE, N/O E YESLER WAY",2011,14800, ,Y,31,3200010,1523,1523,304511,6655.508026715082451
"(47.56114223700007, -122.38145850499996)",N,FAUNTLEROY WAY SW,"FAUNTLEROY WAY SW, S/O SW ALASKA ST",2011,17300,Y,Y,32,67700130,10387,10387,307771,6700.409654086413866
"(47.60172233900005, -122.33417859399998)",Y,1ST AVE,"1ST AVE, SE/O PIKE ST",2011,20500, ,Y,33,100090,1008,1008,304623,3622.387028347058731
"(47.64854072800006, -122.34277540199997)",N,STONE WAY N,"STONE WAY N, S/O N 45TH ST",2011,14100, ,Y,34,98100150,12968,12968,304702,7875.271358196113397
"(47.613465820000044, -122.32891310199994)",Y,E PIKE ST,"E PIKE ST, W/O BROADWAY",2011,11100, ,Y,35,114650070,14599,14599,304535,2072.732072209127637
"(47.690655407000065, -122.36599300999995)",N,NW 85TH ST,"NW 85TH ST, W/O 16TH AVE NW",2011,15200, ,Y,36,148450150,18971,18971,304745,7963.593456626173065
"(47.605155453000066, -122.33924210299995)",Y,SENECA ST OFF RP,"SENECA ST OFF RP, NE/O ALASKAN WY VI NB",2011,9800,Y,Y,37,96200010,12786,12786,303114,568.309333198142554
"(47.522322333000034, -122.33484135399999)",N,MYERS WAY S,"MYERS WAY S, S/O OLSON PL SW",2011,5600,Y,Y,38,87750010,11941,11941,307715,2781.790191331812366
"(47.54750295400004, -122.32143892899995)",N,CORSON AVE S,"CORSON AVE S, S/O S MICHIGAN ST",2011,9500,Y,Y,39,61150170,9833,9833,304772,2609.228439255416561
"(47.61117277100004, -122.34477198499997)",Y,WESTERN AVE,"WESTERN & ELLIOTT AVE, NW/O LENORA ST",2011,9700, ,Y,40,104200130,13507,13507,308210,4123.168215299043368
"(47.708560987000055, -122.31785220999996)",N,PINEHURST WAY NE,"PINEHURST WAY NE, NE/O NE 115TH ST",2011,10000,Y,Y,41,91650050,12231,12231,304551,2635.264938200772576
"(47.54800543700003, -122.33416792299994)",N,1ST AV S BR NB,"1ST AV S BR NB & SB, S/O POINT A",2011,98300, ,Y,42,520040,1270,1270,307929,4493.010222033040918
"(47.70508354100008, -122.35545274599997)",N,GREENWOOD AVE N,"GREENWOOD AVE N, N/O N 107TH ST",2011,23500,Y,Y,43,71050670,10775,10775,304696,5295.660582630240242
"(47.55208187900007, -122.31975399299995)",N,S LUCILE ST,"S LUCILE ST, W/O 12TH AVE S",2011,11500, ,Y,44,164950115,20699,20699,308081,1104.919695010912619
"(47.71447200800003, -122.31250490699995)",N,15TH AVE NE,"15TH AVE NE, S/O NE 145TH ST",2011,15100,Y,Y,45,5550680,2096,2096,304648,7106.180547824972564
"(47.544682574000035, -122.37644504299999)",N,35TH AVE SW,"35TH AVE SW, S/O SW MORGAN ST",2011,20600,Y,Y,46,27200240,5462,5462,307672,8613.68362604408685
"(47.51727251900007, -122.34013076499997)",N,SW ROXBURY ST,"SW ROXBURY ST, E/O 26TH AVE SW",2011,18700,Y,Y,47,181450280,22771,22771,307747,9082.814805230540514
"(47.544682574000035, -122.37644504299999)",N,SW MORGAN ST,"SW MORGAN ST, W/O 35TH AVE SW",2011,7000,Y,Y,48,180000070,22592,22592,307745,2660.88132902199095
"(47.571109189000026, -122.37064141299999)",N,SW AVALON WAY,"SW AVALON WAY, N/O 30TH AVE SW",2011,13500, ,Y,49,173900035,21818,21818,303740,3424.604323704277249
"(47.622060832000045, -122.34367501599996)",N,AURORA BR,"AURORA BR, S/O BRIDGE WAY N",2011,76300, ,Y,50,52540270,8919,8919,308207,10850.446509834267999
"(47.626828156000045, -122.32021962799996)",N,E ALOHA ST,"E ALOHA ST, E/O 10TH AVE E",2011,7400, ,Y,51,108300040,13812,13812,303862,869.880954828098766
"(47.613595528000076, -122.33517270299996)",Y,7TH AVE,"7TH AVE, NW/O LENORA ST",2011,4700, ,Y,52,47050150,8164,8164,308018,2713.653654498012656
"(47.55226298000008, -122.31929088799995)",N,CORSON AVE S,"CORSON AVE S, N/O S MICHIGAN ST",2011,27900,Y,Y,53,61150160,9832,9832,304770,1873.879353787621994
"(47.66753995500005, -122.39831360899996)",N,32ND AVE NW,"32ND AVE NW, S/O NW 80TH ST",2011,4400, ,Y,54,23850280,5001,5001,304221,8343.161943647515727
"(47.58119534200006, -122.38654575599998)",N,CALIFORNIA AVE SW,"CALIFORNIA AVE SW, S/O SW CHARLESTOWN ST",2011,14300, ,Y,55,57900200,9548,9548,308055,7978.442174768427321
"(47.56281827200007, -122.28783612799998)",N,RAINIER AVE S,"RAINIER AVE S, N/O S ALASKA ST",2011,26200, ,Y,56,93450450,12383,12383,304790,786.98202076319285
"(47.60933797300004, -122.32513907699996)",Y,MADISON ST,"MADISON ST, NE/O BOREN AVE",2011,25200,Y,Y,57,83000140,11592,11592,304531,1269.957265145249721
"(47.52225744300006, -122.32298568299996)",N,8TH AVE S,"8TH AVE S, N/O CITY LIMITS",2011,1800, ,Y,58,48050420,8469,8469,308024,1303.604930602553395
"(47.60165615300008, -122.29676784199995)",N,M L KING JR WAY,"M L KING JR WAY, N/O E YESLER WAY",2011,13400, ,Y,59,82910010,11481,11481,304527,2335.014337746900765
"(47.50635283200006, -122.25453661599994)",N,RENTON AVE S,"RENTON AVE S, SE/O S BANGOR ST",2011,11200, ,Y,60,94250590,12545,12545,308077,2893.1225686604148
"(47.63349905000007, -122.37619535299996)",N,15TH AVE W,"15TH AVE W, N/O W ARMORY WAY",2011,42300,Y,Y,61,5750060,2188,2188,304755,7640.755891831888221
"(47.66501938000005, -122.35395996399996)",N,PHINNEY AVE N,"PHINNEY AVE N, S/O N 65TH ST",2011,11200, ,Y,62,91150330,12159,12159,304700,4076.163761869759583
"(47.68292620300008, -122.26369135099998)",N,NE 125TH ST,"NE 125TH ST, E/O 35TH AVE NE",2011,11100, ,Y,63,129750300,16504,16504,304676,17299.62173436737794
"(47.683045873000026, -122.31207927199995)",N,15TH AVE NE,"15TH AVE NE, S/O NE NORTHGATE WAY",2011,7000, ,Y,64,5550500,2078,2078,304672,11465.332337624080537
"(47.601716156000066, -122.33026479299997)",Y,3RD AVE,"3RD AVE, SE/O PIKE ST",2011,8500, ,Y,65,20800110,4383,4383,308012,4292.235215610890009
"(47.57209540100007, -122.36001028199996)",N,WEST MARGINAL WAY SW,"WEST MARGINAL WAY SW, NW/O HIGHLAND PARK WAY SW",2011,16900,Y,Y,66,188450140,23539,23539,307753,13076.035679779013662
"(47.51685113700006, -122.27002476599995)",N,51ST AVE S,"51ST AVE S, S/O S BANGOR ST",2011,9700, ,Y,67,40250440,7537,7537,308014,9773.270361867680549
"(47.67578344000003, -122.31192972099996)",N,15TH AVE NE,"15TH AVE NE, S/O NE 75TH ST",2011,7500, ,Y,68,5550250,2054,2054,304646,2680.065642696879422
"(47.60168875700003, -122.31416192599994)",N,14TH AVE,"14TH AVE, N/O E YESLER WAY",2011,8300, ,Y,69,4450010,1840,1840,304515,1642.740505838396302
"(47.71974505000003, -122.31813230799997)",N,ROOSEVELT WAY NE,"ROOSEVELT WAY NE, SE/O NE 130TH N ST",2011,18900,Y,Y,70,94850755,12667,12667,307739,1819.382111628248595
"(47.61859203600005, -122.35283934999995)",Y,DENNY WAY,"DENNY WAY, W/O 2ND AVE",2011,33300,Y,Y,71,63450045,10000,10000,307145,1115.205642893322192
"(47.72311933700007, -122.32356466599998)",N,5TH AVE NE,"5TH AVE NE, S/O 145TH ST OFF RP",2011,6600, ,Y,72,38950700,7340,7340,308016,3988.297149992508821
"(47.58610376900003, -122.33419784499995)",N,S HOLGATE BR,"S HOLGATE BR, E/O S HOLGATE ST",2011,6700, ,Y,73,161950010,20314,20314,302542,2641.632276670509327
"(47.61990774700007, -122.32087289199995)",N,E JOHN ST,"E JOHN ST, E/O BROADWAY E",2011,15400, ,Y,74,112000040,14243,14243,302671,972.867066792347487
"(47.52280971300007, -122.34672690899998)",N,8TH AVE SW,"8TH AVE SW, N/O SW ROXBURY ST",2011,7200, ,Y,75,48100100,8477,8477,308026,2079.736964187974536
"(47.632304341000065, -122.39300801799999)",N,28TH AVE W,"28TH AVE W, S/O W DRAVUS ST",2011,3700, ,Y,76,19300260,4248,4248,304664,5961.537848719569411
"(47.686939153000026, -122.36064997699998)",N,3RD AVE NW,"3RD AVE NW, S/O NW 145TH ST",2011,8000, ,Y,77,20950790,4513,4513,308008,17217.798895739975706
"(47.57142086600004, -122.32907749799995)",N,4TH AVE S,"4TH AVE S, N/O S DAWSON ST",2011,23100,Y,Y,78,31500240,6252,6252,303734,5766.300635457911085
"(47.533680428000025, -122.35503244799997)",N,16TH AVE SW,"16TH AVE SW, N/O SW CAMBRIDGE ST",2011,4600, ,Y,79,6950380,2349,2349,304654,5953.08094043285746
"(47.60736380600008, -122.34021614299996)",Y,WESTERN AVE,"WESTERN AVE, NW/O UNION ST",2011,8700, ,Y,80,104200090,13503,13503,308205,1809.333517050579303
"(47.522322333000034, -122.33484135399999)",N,OLSON PL SW,"OLSON PL SW, SW/O 1ST AVE S",2011,31400,Y,Y,81,89550010,12052,12052,307731,2293.552794419569182
"(47.63225547800005, -122.32607101999997)",N,EASTLAKE AVE E,"EASTLAKE AVE E, SW/O HARVARD AVE E",2011,16100,Y,Y,82,65100270,10183,10183,307767,7370.303405809795549
"(47.59920482900003, -122.33418803099994)",Y,1ST AVE S,"1ST AVE S, N/O S KING ST",2011,9300, ,Y,83,300040,1188,1188,304627,918.302843865553086
"(47.66124330500003, -122.29286352199995)",N,35TH AVE NE,"35TH AVE NE, S/O NE 75TH ST",2011,15800,Y,Y,84,27050120,5362,5362,307668,8287.308817190038098
"(47.62458297400008, -122.35670922099996)",N,QUEEN ANNE AVE N,"QUEEN ANNE AVE N, S/O CROCKETT ST",2011,10200, ,Y,85,93150200,12312,12312,307197,4620.282941388033578
"(47.65399335500007, -122.37621487399997)",N,W EMERSON PL,"W EMERSON PL, SE/O 21ST AVE W",2011,20100, ,Y,86,185650015,23271,23271,308095,2821.021995329086167
"(47.57139257500006, -122.33419371699995)",N,1ST AVE S,"1ST AVE S, S/O S SPOKANE SR ST",2011,12800,Y,Y,87,300215,1214,1214,304629,6553.632279713823664
"(47.61027471300008, -122.34134343299996)",Y,1ST AVE,"1ST AVE, NW/O LENORA ST",2011,15600,Y,Y,88,100140,1013,1013,304625,4622.274752348186666
"(47.60794452500005, -122.32847075299998)",Y,8TH AVE,"8TH AVE, SE/O PIKE ST",2011,5100,Y,Y,89,47850140,8279,8279,307680,3919.717367982512314
"(47.57139895700004, -122.32274644999995)",N,AIRPORT WAY S,"AIRPORT WAY S, NW/O S LUCILE ST",2011,18300,Y,Y,90,50000425,8689,8689,307684,6686.4168953207718
"(47.71927875100005, -122.295233054)",N,NE 125TH ST,"NE 125TH ST, W/O 27TH AVE NE",2011,15600,Y,Y,91,129750230,16496,16496,307723,5659.747086605498225
"(47.53695787700008, -122.27027401699996)",N,RAINIER AVE S,"RAINIER AVE S, S/O S OTHELLO ST",2011,22000, ,Y,92,93450730,12409,12409,307540,7909.970362432159163
"(47.618574815000045, -122.34357429399995)",N,AURORA AVE N,"AURORA AVE N, S/O HARRISON ST",2011,75100, ,Y,93,52500030,8900,8900,308045,1272.632664625800544
"(47.53973286000007, -122.30036374099996)",N,S MYRTLE ST,"S MYRTLE ST, W/O BEACON WR AVE S",2011,13500,Y,Y,94,166350100,20911,20911,303728,1055.353999760376837
"(47.61849175800006, -122.33072296099999)",Y,DENNY WAY,"DENNY WAY, E/O STEWART ST",2011,25400,Y,Y,95,63450280,10023,10023,304507,1257.038051126794016
"(47.528519095000036, -122.39273438499998)",N,FAUNTLEROY WAY SW,"FAUNTLEROY WAY SW, N/O SW BARTON ST",2011,9900, ,Y,96,67700450,10420,10420,308057,8903.757974892490893
"(47.686941912000066, -122.35529962599998)",N,GREENWOOD AVE N,"GREENWOOD AVE N, S/O HOLMAN RD N",2011,11700, ,Y,97,71050650,10764,10764,304694,6617.585135932539742
"(47.578355919000046, -122.41328134599996)",N,BEACH DR SW,"BEACH DR SW, SE/O 61ST AVE SW",2011,4200, ,Y,98,53850050,9093,9093,303022,17358.496755608113745
"(47.60178556900007, -122.32894644599997)",Y,4TH AVE,"4TH AVE, SE/O PIKE ST",2011,20100,Y,Y,99,31300120,6130,6130,303850,4472.226115142166236
"(47.61851315400003, -122.33297304399997)",Y,DENNY WAY,"DENNY WAY, E/O MINOR AVE",2011,22000,Y,Y,100,63450245,158085,158085,307694,555.112611597149453
"(47.610614154000075, -122.33244672399996)",Y,7TH AVE,"7TH AVE, SE/O PIKE ST",2011,7700, ,Y,101,47050080,8157,8157,308020,1278.577987883498736
"(47.613130126000044, -122.33628183799999)",Y,6TH AVE,"6TH AVE, NW/O LENORA ST",2011,7500, ,Y,102,44350170,7890,7890,302248,2945.325842654120152
"(47.70419933100004, -122.30161245299996)",N,LAKE CITY WAY NE,"LAKE CITY WAY NE, SW/O NE 115TH ST",2011,41500, ,Y,103,80150280,11166,11166,304547,2944.274922496535964
"(47.52011701300006, -122.26277739699998)",N,RAINIER AVE S,"RAINIER AVE S, E/O 75TH AVE S",2011,17800, ,Y,104,93451120,12439,12439,307779,8040.809305847436008
"(47.52107001400003, -122.37676149299995)",N,35TH AVE SW,"35TH AVE SW, N/O SW ROXBURY ST",2011,15800,Y,Y,105,27200460,5484,5484,307670,4710.620351738742102
"(47.734140585000034, -122.36092988499996)",N,N 145TH ST,"N 145TH ST, W/O LINDEN AVE N",2011,13500,Y,Y,106,119750060,15264,15264,307719,3896.135071446172333
"(47.68507268700006, -122.32292811299999)",N,5TH AVE NE,"5TH AVE NE, S/O NE NORTHGATE WAY",2011,20500,Y,Y,107,38950585,7255,7255,304543,8580.33062892669659
"(47.68507268700006, -122.32292811299999)",N,N 85TH ST,"N 85TH ST, W/O ASHWORTH AVE N",2011,25100, ,Y,108,125000140,15962,15962,307380,6272.836367720166891
"(47.68678736500004, -122.32295135999999)",N,NE 80TH ST,"NE 80TH ST, E/O 5TH AVE NE",2011,9900, ,Y,109,136400060,17610,17610,303597,1329.873409155487025
"(47.661261953000064, -122.31199330999999)",N,15TH AVE NE,"15TH AVE NE, S/O NE 65TH ST",2011,9600, ,Y,110,5550170,2047,2047,304644,5297.11257738873428
"(47.658981683000036, -122.30113876099995)",N,NE 45TH ST,"NE 45TH ST, W/O NE 45TH PL",2011,38000, ,Y,111,132850275,288753,288753,308075,2427.191584492211405
"(47.56409503800006, -122.28818594699999)",N,S GENESEE ST,"S GENESEE ST, E/O 38TH AVE S",2011,9900, ,Y,112,160200190,20097,20097,304802,4316.749127150523236
"(47.50820078700008, -122.37087513199998)",N,SW 106TH ST,"SW 106TH ST, W/O SEOLA BEACH DR SW",2011,8900, ,Y,113,172350300,21625,21625,308089,1250.037627809421792
"(47.664990757000055, -122.32612581899997)",N,NE 50TH ST,"NE 50TH ST, W/O ROOSEVELT WAY NE",2011,21400,Y,Y,114,133200100,16929,16929,307792,3496.350433182521556
"(47.656021268000075, -122.31784149899994)",N,ROOSEVELT WAY NE,"ROOSEVELT WAY NE, N/O NE 50TH ST",2011,11400,Y,Y,115,94850100,12601,12601,304088,9323.473715024723788
"(47.65538287700008, -122.34243924099997)",N,N 40TH ST,"N 40TH ST, E/O STONE WAY N",2011,11900, ,Y,116,120600150,15416,15416,304712,4694.998075235537726
"(47.59648601400005, -122.32904621999995)",N,4TH AVE S,"4TH AVE S, S/O SEATTLE BLVD S",2011,33200,Y,Y,117,31500060,6232,6232,307678,9143.595438427350018
"(47.572083992000046, -122.37199326999996)",N,SW ADMIRAL WAY,"SW ADMIRAL WAY, SE/O SW CITY VIEW ST",2011,25100,Y,Y,118,173050020,21691,21691,307800,5796.757459590280632
"(47.61116907600007, -122.32076019899995)",N,E MADISON ST,"E MADISON ST, SW/O 17TH AVE",2011,24100,Y,Y,119,112750115,14348,14348,307171,3074.170970105315064
"(47.55339933000005, -122.32955138399996)",N,S LUCILE ST,"S LUCILE ST, E/O 4TH AVE S",2011,8100, ,Y,120,164950060,20693,20693,304806,2110.636598850700921
"(47.55563644700004, -122.32953101199996)",N,4TH AVE S,"4TH AVE S, N/O S MICHIGAN ST",2011,20300,Y,Y,121,31500330,6261,6261,307674,4284.66061917582465
"(47.571207618000074, -122.35847912499997)",N,DELRIDGE WAY SW,"DELRIDGE WAY SW, S/O SW ANDOVER ST",2011,19600,Y,Y,122,63200030,9960,9960,307692,12560.081373135770264
"(47.66235290800006, -122.37622118799999)",N,15TH AVE NW,"15TH AVE NW, S/O NW 80TH ST",2011,39600,Y,Y,123,5600260,2117,2117,304650,11279.131601188479181
"(47.67602257000004, -122.35435321799997)",N,GREENWOOD AVE N,"GREENWOOD AVE N, S/O N 80TH ST",2011,11300,Y,Y,124,71050490,10746,10746,307702,4085.063721927152983
"(47.70859413300008, -122.32327545299995)",N,5TH AVE NE,"5TH AVE NE, N/O NE NORTHGATE WAY",2011,17300, ,Y,125,38950590,7256,7256,304545,5299.088000593668767
"(47.63231571700004, -122.39187886999997)",N,20TH AVE W,"20TH AVE W, S/O W DRAVUS ST",2011,6400, ,Y,126,10750020,3090,3090,304748,9516.656238223147739
"(47.65108342000008, -122.30390735999998)",N,MONTLAKE BLVD NE,"MONTLAKE BLVD NE, N/O NE PACIFIC PL",2011,46800, ,Y,127,86950030,11911,11911,304549,2966.812716050265863
"(47.62504920300006, -122.32089298799997)",N,10TH AVE E,"10TH AVE E, S/O E BOSTON ST",2011,12900, ,Y,128,1500170,1298,1298,302673,6738.794416587487831
"(47.52223294400005, -122.31498166799997)",N,14TH AVE S,"14TH AVE S, N/O S DIRECTOR ST",2011,8200,Y,Y,129,4650470,1960,1960,304642,1863.588677536030445
"(47.56433107000004, -122.31350185899998)",N,S COLUMBIAN WAY,"S COLUMBIAN WAY, W/O BEACON WR AVE S",2011,14500,Y,Y,130,156200095,166998,166998,302665,7482.434859542484446
"(47.72323366900008, -122.35554671099999)",N,N 130TH ST,"N 130TH ST, W/O LINDEN AVE N",2011,19900,Y,Y,131,118650070,15160,15160,307717,2601.582182831452883
"(47.690562587000045, -122.34452192099997)",N,N 85TH ST,"N 85TH ST, W/O LINDEN AVE N",2011,25100,Y,Y,132,125000070,15954,15954,307721,5288.152319971578436
"(47.66501938000005, -122.35395996399996)",N,N 50TH ST,"N 50TH ST, W/O FREMONT AVE N",2011,11900, ,Y,133,121950060,15641,15641,308071,3394.476336552895191
"(47.57981113900007, -122.33420081399998)",N,S LANDER ST,"S LANDER ST, W/O 6TH AVE S",2011,16100, ,Y,134,164200065,20628,20628,307486,3159.940723968890325
"(47.59918906300004, -122.31722284699998)",N,12TH AVE S,"12TH AVE S, S/O S WELLER ST",2011,11500, ,Y,135,3400060,1656,1656,303744,1509.149076950785457
"(47.539147402000026, -122.36093796499995)",N,DELRIDGE WAY SW,"DELRIDGE WAY SW, N/O SW MYRTLE ST",2011,20600,Y,Y,136,63200190,9976,9976,307688,6000.989230622982177
"(47.648468285000035, -122.37610866399996)",N,W DRAVUS ST,"W DRAVUS ST, E/O 20TH AVE W",2011,20800, ,Y,137,185250170,23222,23222,308093,1447.606437030787674
"(47.67577422100004, -122.30065154799996)",N,NE 65TH ST,"NE 65TH ST, E/O 25TH AVE NE",2011,13000,Y,Y,138,134650300,17278,17278,304682,2556.737168300907342
"(47.65043101700007, -122.34983490399998)",N,FREMONT AVE N,"FREMONT AVE N, S/O N 46TH ST",2011,9500, ,Y,139,68700160,10498,10498,303738,5330.66502931343166
"(47.62601780000006, -122.29244003299999)",N,E MADISON ST,"E MADISON ST, SW/O 38TH AVE E",2011,13800, ,Y,140,112750380,14372,14372,304670,5345.45868849762428
"(47.65587141100008, -122.38647924699995)",N,GILMAN AVE W,"GILMAN AVE W, NW/O W EMERSON PL",2011,11800, ,Y,141,70000070,10638,10638,304753,5624.129843511646868
"(47.69314422200006, -122.37658588399995)",N,HOLMAN RD NW,"HOLMAN RD NW, NE/O 13TH E AVE NW",2011,30500,Y,Y,142,73600060,10940,10940,304724,6856.260636388089551
"(47.65443888900006, -122.37621797899999)",N,BALLARD BR,"BALLARD BR, S/O POINT A",2011,63800, ,Y,143,53150010,9047,9047,308208,2886.762704049967851
"(47.569166186000075, -122.31343045799997)",N,15TH AVE S,"15TH AVE S, S/O S BRADFORD ST",2011,23600,Y,Y,144,5650245,2155,2155,304652,1763.835157617728328
"(47.60721842000004, -122.32075236399999)",N,E CHERRY ST,"E CHERRY ST, W/O 26TH AVE",2011,7900, ,Y,145,109100160,13894,13894,304533,6132.015765538788401
"(47.683047427000076, -122.30075822799995)",N,NE 75TH ST,"NE 75TH ST, W/O 30TH AVE NE",2011,16900,Y,Y,146,135950280,17527,17527,304686,2532.026820093559763
"(47.68311118200006, -122.31748950699995)",N,NE 75TH ST,"NE 75TH ST, E/O 12TH AVE NE",2011,21300,Y,Y,147,135950110,17510,17510,304684,4121.495537870032422
"(47.54394489200007, -122.31893008499998)",N,ELLIS AVE S,"ELLIS AVE S, S/O S WARSAW ST",2011,6200,Y,Y,148,65750060,10230,10230,304774,6690.908493635459308
"(47.734128428000076, -122.34509710399999)",N,N 145TH ST,"N 145TH ST, W/O MERIDIAN AVE N",2011,26400, ,Y,149,119750210,15279,15279,304710,3990.832799746199726
"(47.618550165000045, -122.34240185299996)",Y,DENNY WAY,"DENNY WAY, E/O WESTLAKE AVE",2011,34600,Y,Y,150,63450200,10015,10015,307696,2325.446123489488855
"(47.67581492800008, -122.31565804699994)",N,12TH AVE NE,"12TH AVE NE, S/O NE 75TH ST",2011,8500,Y,Y,151,3300260,1589,1589,304349,2640.883274703637653
"(47.62579577000008, -122.33863455)",N,VALLEY ST,"VALLEY ST, W/O FAIRVIEW AVE N",2011,44500,Y,Y,152,101600170,13267,13267,307749,4143.964822747863764
"(47.52280971300007, -122.34672690899998)",N,SW BARTON ST,"SW BARTON ST, W/O 30TH AVE SW",2011,13800, ,Y,153,174000250,21848,21848,304853,7676.732230137723491
"(47.61917077700008, -122.30254741099998)",N,24TH AVE E,"24TH AVE E, N/O E PROSPECT ST",2011,21100,Y,Y,154,14750110,3543,3543,304517,9802.723282739116257
"(47.59912512400007, -122.29258593199995)",N,31ST AVE S,"31ST AVE S, S/O S JACKSON ST",2011,4400, ,Y,155,22750030,4828,4828,308002,8587.771583126048426
"(47.68687813100007, -122.37679291699999)",N,NW 80TH ST,"NW 80TH ST, W/O 15TH AVE NW",2011,9300, ,Y,156,148000130,18898,18898,304741,5301.02981218397781
"(47.59920482900003, -122.33418803099994)",N,1ST AVE S,"1ST AVE S, N/O S SPOKANE NR ST",2011,19700,Y,Y,157,300200,1212,1212,304757,10030.414464825396863
"(47.675969261000034, -122.331352832)",N,NE 65TH ST,"NE 65TH ST, W/O 15TH AVE NE",2011,16100,Y,Y,158,134650170,17265,17265,302667,4785.49014364323375
"(47.66138529600005, -122.34214535899997)",N,N 46TH ST,"N 46TH ST, W/O PHINNEY AVE N",2011,24800,Y,Y,159,121400040,15557,15557,307773,6326.209638117011309
"(47.68694220500004, -122.34450322999999)",N,N 80TH ST,"N 80TH ST, W/O LINDEN AVE N",2011,15700, ,Y,160,124550040,15893,15893,303936,7953.153596038066098
"(47.708628720000036, -122.328634266)",N,NE NORTHGATE WAY,"NE NORTHGATE WAY, E/O 5TH AVE NE",2011,31200,Y,Y,161,139300040,18013,18013,307727,2654.667797651362434
"(47.57772508700003, -122.32597792399997)",N,6TH AVE S,"6TH AVE S, S/O S FOREST ST",2011,17400,Y,Y,162,44550180,7997,7997,303736,4151.569596007752807
"(47.70508354100008, -122.35545274599997)",N,N 105TH ST,"N 105TH ST, W/O EVANSTON W AVE N",2011,21100, ,Y,163,117400050,15012,15012,308067,2648.987964200400256
"(47.653375236000045, -122.31218414899996)",N,15TH AVE NE,"15TH AVE NE, S/O NE 45TH ST",2011,15200,Y,Y,164,5550070,2034,2034,304541,2877.217583475411175
"(47.55038680600006, -122.31351966899996)",N,SWIFT AVE S,"SWIFT AVE S, NW/O S ALBRO PL",2011,8100, ,Y,165,99400050,13038,13038,308091,5113.608508376763893
"(47.695952428000055, -122.33502421399999)",N,MERIDIAN AVE N,"MERIDIAN AVE N, S/O N 145TH ST",2011,4000,Y,Y,166,86200680,11752,11752,302769,12231.802527726487824
"(47.645263777000025, -122.30461715199999)",N,MONTLAKE BR,"MONTLAKE BR, S/O POINT A",2011,58000, ,Y,167,86850010,11902,11902,308065,2146.991199554693139
"(47.73409487500004, -122.32887983699999)",N,NE 145TH ST,"NE 145TH ST, E/O 5TH AVE NE",2011,31600, ,Y,168,131450030,16680,16680,308073,8969.647074281509049
"(47.62601780000006, -122.29244003299999)",N,LAKE WASHINGTON BLVD E,"LAKE WASHINGTON BLVD E, NW/O E MADISON ST",2011,25500, ,Y,169,80550170,11209,11209,304525,8756.902310972263876
"(47.646888415000035, -122.35136120299995)",N,NICKERSON ST,"NICKERSON ST, NW/O FLORENTIA ST",2011,20600,Y,Y,170,88150040,11970,11970,304698,7124.118264540297787
"(47.60721842000004, -122.32075236399999)",N,BROADWAY,"BROADWAY, S/O E DENNY WAY",2011,17000, ,Y,171,57350200,9450,9450,304523,6473.238232844774757
