SiteId,SiteLocation,Date,DayOfWeek,TravelDirection,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23,Hour24
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2009-04-23 00:00:00,Thursday,Northbound,0,0,0,0,19,920,1976,2595,2455,1784,1155,523,922,1183,1362,2121,2405,2355,1852,1085,693,2,0,1
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2009-04-30 00:00:00,Thursday,Northbound,1,0,0,1,17,929,2038,2640,2234,1126,1090,588,992,1059,1611,2068,2338,2500,1893,1060,860,94,2,0
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2009-05-07 00:00:00,Thursday,Northbound,1,2,0,2,26,962,2039,2517,2379,1482,1057,523,797,1235,1571,2045,2251,2328,1922,1144,798,49,0,0
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2012-09-22 00:00:00,Saturday,Southbound,0,0,0,0,0,0,57,592,821,1080,1104,1209,1180,739,1092,1046,1006,1038,888,806,875,1110,1139,210
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2012-10-06 00:00:00,Saturday,Southbound,0,0,0,0,0,0,121,592,848,1072,1123,1130,1102,851,1324,1223,1200,1206,1204,927,729,754,773,185
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2012-10-13 00:00:00,Saturday,Southbound,0,0,0,0,0,0,12,574,815,906,1047,1083,1187,877,1066,1198,1154,1132,989,1024,896,719,753,224
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2012-10-20 00:00:00,Saturday,Southbound,0,0,0,0,0,1,32,592,894,982,1102,1112,1062,823,1267,1261,1238,1263,1117,860,682,711,645,159
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2012-10-27 00:00:00,Saturday,Southbound,0,0,0,0,0,0,31,516,714,896,957,990,1024,815,1159,1139,1179,1075,949,791,664,645,762,118
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2009-02-21 00:00:00,Saturday,Northbound,0,0,0,0,0,0,153,534,870,1052,1067,1003,906,827,857,817,853,840,790,628,471,437,368,122
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2009-02-28 00:00:00,Saturday,Northbound,2,0,1,1,0,0,72,192,312,469,647,781,896,988,1027,1146,1139,1164,970,745,608,637,651,227
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2009-03-07 00:00:00,Saturday,Northbound,1,1,1,0,0,0,98,586,805,914,946,922,902,595,1203,1178,1143,1188,949,794,648,685,733,291
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2009-03-14 00:00:00,Saturday,Northbound,1,0,1,0,0,0,25,178,299,479,604,771,877,1035,1139,1191,1170,1213,1053,856,671,742,734,260
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2009-03-21 00:00:00,Saturday,Northbound,1,0,1,1,1,0,173,554,737,852,903,842,811,611,1359,1299,1258,1319,1109,869,800,849,842,299
R49R,On SR 005 RL005EXP at milepost 168.31 A: AT E ROANOKE STREET UXING - SEATTLE                         ,2009-06-10 00:00:00,Wednesday,Southbound,0,0,1,0,23,942,1946,2625,2420,1712,1195,554,1060,1189,1658,2066,2358,2398,1875,1082,845,180,0,0
